"AGD.tail","Season.DOB","Density.DOB","dam_ID","sire_ID","Genetic_LitterID_95CI","focal_ID"
-0.252851813130098,"spring",87,"'0006E9C1BE","'0006E2524B","'0006E9C1BE_A","'0006B36920"
0.49057293360549,"spring",87,"'0006E21DB8","'0006E9E4FE","'0006E21DB8_A","'0006B380D9"
1.43088427421811,"winter",65,"'00068EA1C5","'00069B3702","'00068EA1C5_G","'0006B8D420"
1.14870488993015,"spring",52,"'0006CC7783","'0006B8C38E","'0006CC7783_D","'0006B8D7E0"
0.650261592992978,"winter",65,"'00068EA1C5","'00069B3702","'00068EA1C5_G","'0006B8D859"
0.42932757115528,"spring",52,"'0006CC454B","'0006B8C03C","'0006CC454B_B","'0006B8DC47"
0.52777086809245,"winter",65,"'00068E97D0","'0006B9AD19","'00068E97D0_G","'0006B8DC71"
0.309950252380412,"spring",81,"'0006B9BAB9","'0006B8C03C","'0006B9BAB9_A","'0006B8EBF2"
-0.212540472520116,"spring",81,"'00069542F0","'0006B8ECF4","'00069542F0_B","'0006B8F125"
0.701039944524393,"winter",65,"'00068EA1C5","'00069B3702","'00068EA1C5_G","'0006B9B64B"
0.108393549317582,"spring",52,"'0006954AE6","'0006955F3B","'0006954AE6_G","'0006B9B6C4"
1.33088427421811,"spring",52,"'0006B9D225","'0006B8F292","'0006B9D225_A","'0006B9B745"
-0.239271396088173,"spring",81,"'0006954D6A","'00069555C7","'0006954D6A_C","'0006B9C88D"
1.14870488993015,"spring",52,"'0006CC7783","'00069B3702","'0006CC7783_D","'0006B9D7D8"
0.750261592992978,"spring",95,"'0006CC50E1","'0006CC43B9","'0006CC50E1_B","'0006CC41E9"
1.11886056023643,"summer",82,"'0006B9E497","'0006B8C3EF","'0006B9E497_E","'0006CC4228"
-0.0319177912949842,"winter",65,"'00069B345E","'00069B4A4F","'00069B345E_A","'0006CC433A"
0.178549219623865,"winter",100,"'0006B9B745","'0006CC47D6","'0006B9B745_B","'0006CC4405"
1.24870488993015,"summer",84,"'0006B8DFD0","'0006B9D65C","'0006B8DFD0_C","'0006CC44DB"
0.875435813498204,"spring",52,"'00069B286E","'0006B9AF76","'00069B286E_F","'0006CC4698"
