"density","predicted","std.error","conf.low","conf.high","season"
207,0.88209626621887,0.0724096983495018,0.765123914079908,1.01695138337554,"Spring"
207,0.799289503122624,0.0585414242870633,0.71244792816903,0.89671635573967,"Summer"
207,0.870123305382062,0.0835969967715367,0.73833071072793,1.02544097864026,"Autumn"
207,1.02792226633583,0.0719346454814293,0.89244489370305,1.18396574744767,"Winter"
252,0.854183872575779,0.064345962145455,0.752744538461155,0.969293101295888,"Spring"
252,0.773997384676661,0.0486997749619109,0.703373472163243,0.851712461722292,"Summer"
252,0.842589775145097,0.07465116279915,0.727644796304587,0.975692443324891,"Autumn"
252,0.995395463954666,0.0668872885012723,0.872817598144665,1.13518807568463,"Winter"
286,0.833681806642992,0.0593836349884837,0.741874969994036,0.93684971570494,"Spring"
286,0.755419949627935,0.04234905859421,0.695110334809516,0.820962186459582,"Summer"
286,0.822365989987195,0.0687196906963714,0.718504454259629,0.941240958881024,"Autumn"
286,0.971504046560357,0.0645268523408117,0.855828043985715,1.10281512637473,"Winter"
300,0.825383488527495,0.0576926474001037,0.73693472505522,0.924448095566088,"Spring"
300,0.747900635900738,0.0401272166366137,0.691202029039241,0.809250172425307,"Summer"
300,0.814180307466715,0.0665362654708372,0.714410689553901,0.92788305488615,"Autumn"
300,0.961833870763534,0.0639596042568496,0.84825411576365,1.09062175798005,"Winter"
311,0.818921369161161,0.0565272814476658,0.732841081856968,0.915112737906907,"Spring"
311,0.742045147814866,0.0385830969571268,0.687874111856419,0.80048222764127,"Summer"
311,0.807805900411451,0.064942127261158,0.711040901663528,0.917739571961148,"Autumn"
311,0.954303449607974,0.0636868010166897,0.842064142814816,1.08150321053863,"Winter"
315,0.816584072299625,0.0561411380055027,0.731304066220245,0.911808887621607,"Spring"
315,0.739927264632892,0.0380704140463875,0.686602083604237,0.797393963725127,"Summer"
315,0.805500328390909,0.064390685440945,0.709780080453678,0.914129315411532,"Autumn"
315,0.951579756538387,0.0636258021057341,0.839761428636928,1.07828723989317,"Winter"
371,0.784553773246636,0.0530750282444976,0.706864195307054,0.870782007636073,"Spring"
371,0.710903809035836,0.0342547637367331,0.664634169156019,0.760394588715501,"Summer"
371,0.773904786326289,0.0584970487581232,0.689881366239007,0.868161755931877,"Autumn"
371,0.914254286683384,0.0649133061596008,0.804783677984691,1.03861562253856,"Winter"
404,0.766270306760643,0.0534726177848555,0.689852144324302,0.851153668005443,"Spring"
404,0.694336702470935,0.0353618535173369,0.647734921845327,0.744291283577473,"Summer"
404,0.755869486890289,0.0568753620008227,0.675954423634865,0.845232550057862,"Autumn"
404,0.892948242177246,0.0674607777588437,0.782104507288123,1.0195013016511,"Winter"
407,0.764629452420999,0.0535909143711486,0.688214956435938,0.849528470781001,"Spring"
407,0.692849883287976,0.0355848472552634,0.646064780150128,0.743022952993372,"Summer"
407,0.754250904365525,0.0568032749085907,0.674602504276415,0.84330316464866,"Autumn"
407,0.891036125806134,0.0677526897405236,0.779982282833417,1.0179018100353,"Winter"
417,0.759185272057167,0.054081542282316,0.68265649399138,0.844293260785697,"Spring"
417,0.687916775208322,0.0364640443739612,0.640357699414838,0.739008041982561,"Summer"
417,0.748880619517161,0.0566560303673988,0.669993113243308,0.837056637154932,"Autumn"
417,0.884691926842545,0.0687939291107664,0.772846141863208,1.01272396020954,"Winter"
447,0.743084205147751,0.0564023884806783,0.665138672694359,0.830163932136595,"Spring"
447,0.673327195518867,0.0402193602520042,0.622169382657346,0.728691454228939,"Summer"
447,0.732998097284693,0.0570764562682427,0.655242203904768,0.819981080921137,"Autumn"
447,0.86592907088024,0.0725056735846139,0.750958989759364,0.998500804998409,"Winter"
462,0.735162181864833,0.0580045334249344,0.655979523738305,0.823902902584918,"Spring"
462,0.666148851957034,0.0426224179128885,0.612637156616474,0.724334605191887,"Summer"
462,0.725183602032611,0.0577643338738396,0.647381154407542,0.812336369504403,"Autumn"
462,0.856697398058578,0.0746618716471973,0.739812310443747,0.99204949887914,"Winter"
506,0.712408129231734,0.0641409488806963,0.628058418946867,0.808086202309782,"Spring"
506,0.645530835398484,0.0511124781447176,0.583854758056826,0.713722126436293,"Summer"
506,0.702738397074634,0.0614841999186077,0.622775835467216,0.792967913330385,"Autumn"
506,0.83018170102338,0.081957752264182,0.70671122312999,0.97522387384996,"Winter"
